Trade #,Datetime,Signal,Price USD,Net P&L USD,Drawdown USD,Cumulative P&L USD,hour,Market_ATR,Market_Price,Market_SMA200,Filter_Time,Filter_ATR,Filter_Trend,Filter_ALL,Time_Reason,ATR_Reason,Trend_Reason
1,2024-12-15 21:42:00,Long,21817.25,-45.0,-52.0,-45.0,21,66.14285714285714,21789.0,21544.15375,True,True,True,True,PASS,PASS,PASS
2,2024-12-16 00:22:00,Short,21794.75,19.5,-9.0,-25.5,0,65.57142857142857,21801.25,21547.025,True,True,False,False,PASS,PASS,FAIL: Short against trend
3,2024-12-16 02:06:00,Long,21809.0,24.5,-32.5,-1.0,2,66.01785714285714,21816.75,21553.00375,True,True,True,True,PASS,PASS,PASS
4,2024-12-16 04:33:00,Long,21830.25,22.0,-2.5,21.0,4,54.357142857142854,21790.5,21561.89875,True,True,True,True,PASS,PASS,PASS
5,2024-12-16 05:28:00,Long,21858.75,14.5,-4.0,35.5,5,54.357142857142854,21790.5,21561.89875,True,True,True,True,PASS,PASS,PASS
6,2024-12-16 06:37:00,Short,21841.25,-79.0,-82.5,-43.5,6,36.17857142857143,21804.0,21567.96625,True,True,False,False,PASS,PASS,FAIL: Short against trend
7,2024-12-16 07:32:00,Long,21880.75,35.5,-32.0,-8.0,7,33.44642857142857,21811.0,21570.98625,True,True,True,True,PASS,PASS,PASS
8,2024-12-16 08:48:00,Long,21912.0,60.5,-64.0,52.5,8,29.660714285714285,21846.75,21574.19125,True,True,True,True,PASS,PASS,PASS
9,2024-12-16 12:47:00,Long,22081.75,42.0,-36.5,94.5,12,24.696428571428573,21910.75,21586.69,False,True,True,False,FAIL: Trading at 12:00 (avoid 9-13),PASS,PASS
10,2024-12-16 13:37:00,Long,22121.75,32.5,-37.0,127.0,13,29.553571428571427,21971.25,21589.925,True,True,True,True,PASS,PASS,PASS
11,2024-12-16 14:54:00,Long,22138.75,528.5,-86.5,655.5,14,34.142857142857146,21991.75,21593.22,True,True,True,True,PASS,PASS,PASS
12,2024-12-16 20:47:00,Long,22413.0,15.5,-6.5,671.0,20,46.464285714285715,22111.75,21616.08375,True,True,True,True,PASS,PASS,PASS
13,2024-12-17 03:01:00,Short,22335.25,-145.0,-146.5,526.0,3,44.30357142857143,22115.25,21634.30625,True,True,False,False,PASS,PASS,FAIL: Short against trend
14,2024-12-17 05:54:00,Long,22407.75,-111.0,-114.0,415.0,5,31.285714285714285,22092.0,21644.48375,True,True,True,True,PASS,PASS,PASS
15,2024-12-17 07:57:00,Short,22352.25,43.0,-5.5,458.0,7,29.892857142857142,22045.0,21650.425,True,True,False,False,PASS,PASS,FAIL: Short against trend
16,2024-12-17 11:35:00,Long,22362.5,-154.5,-158.5,303.5,11,31.964285714285715,22050.0,21662.39125,False,True,True,False,FAIL: Trading at 11:00 (avoid 9-13),PASS,PASS
17,2024-12-17 14:21:00,Short,22285.25,53.0,-21.0,356.5,14,37.25,22004.0,21667.3775,True,True,False,False,PASS,PASS,FAIL: Short against trend
18,2024-12-17 19:43:00,Long,22289.25,21.5,-18.5,378.0,19,57.410714285714285,22015.75,21682.49875,True,True,True,True,PASS,PASS,PASS
19,2024-12-17 20:57:00,Long,22320.5,10.5,-7.5,388.5,20,54.94642857142857,22005.0,21684.9525,True,True,True,True,PASS,PASS,PASS
20,2024-12-17 21:43:00,Long,22325.75,11.0,-53.0,399.5,21,54.94642857142857,22005.0,21684.9525,True,True,True,True,PASS,PASS,PASS
21,2024-12-18 05:10:00,Long,22354.0,32.0,-3.0,431.5,5,48.464285714285715,22039.75,21702.485,True,True,True,True,PASS,PASS,PASS
22,2024-12-18 08:32:00,Short,22355.75,38.0,-3.0,469.5,8,37.625,22048.25,21712.87625,True,True,False,False,PASS,PASS,FAIL: Short against trend
