Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-12-16 00:22,Exit Long,21794.75,1,21817.25,-45,-0.10,9,0.02,-52,-0.12,-45,-0.45
1,Entry long,2024-12-15 21:42,Long,21817.25,1,21817.25,-45,-0.10,9,0.02,-52,-0.12,-45,-0.45
2,Exit short,2024-12-16 00:45,Exit Short,21785,1,21794.75,19.5,0.04,20.5,0.05,-9,-0.02,-25.5,-0.25
2,Entry short,2024-12-16 00:22,Short,21794.75,1,21794.75,19.5,0.04,20.5,0.05,-9,-0.02,-25.5,-0.25
3,Exit long,2024-12-16 04:09,Exit Long,21821.25,1,21809,24.5,0.06,26.5,0.06,-32.5,-0.07,-1,-0.01
3,Entry long,2024-12-16 02:06,Long,21809,1,21809,24.5,0.06,26.5,0.06,-32.5,-0.07,-1,-0.01
4,Exit long,2024-12-16 04:42,Exit Long,21841.25,1,21830.25,22,0.05,24,0.05,-2.5,-0.01,21,0.21
4,Entry long,2024-12-16 04:33,Long,21830.25,1,21830.25,22,0.05,24,0.05,-2.5,-0.01,21,0.21
5,Exit long,2024-12-16 05:57,Exit Long,21866,1,21858.75,14.5,0.03,15.5,0.04,-4,-0.01,35.5,0.36
5,Entry long,2024-12-16 05:28,Long,21858.75,1,21858.75,14.5,0.03,15.5,0.04,-4,-0.01,35.5,0.36
6,Exit short,2024-12-16 07:32,Exit Short,21880.75,1,21841.25,-79,-0.18,4,0.01,-82.5,-0.19,-43.5,-0.43
6,Entry short,2024-12-16 06:37,Short,21841.25,1,21841.25,-79,-0.18,4,0.01,-82.5,-0.19,-43.5,-0.43
7,Exit long,2024-12-16 08:22,Exit Long,21898.5,1,21880.75,35.5,0.08,38.5,0.09,-32,-0.07,-8,-0.08
7,Entry long,2024-12-16 07:32,Long,21880.75,1,21880.75,35.5,0.08,38.5,0.09,-32,-0.07,-8,-0.08
8,Exit long,2024-12-16 09:50,Exit Long,21942.25,1,21912,60.5,0.14,77.5,0.18,-64,-0.15,52.5,0.53
8,Entry long,2024-12-16 08:48,Long,21912,1,21912,60.5,0.14,77.5,0.18,-64,-0.15,52.5,0.53
9,Exit long,2024-12-16 13:14,Exit Long,22102.75,1,22081.75,42,0.10,46,0.10,-36.5,-0.08,94.5,0.95
9,Entry long,2024-12-16 12:47,Long,22081.75,1,22081.75,42,0.10,46,0.10,-36.5,-0.08,94.5,0.95
10,Exit long,2024-12-16 14:39,Exit Long,22138,1,22121.75,32.5,0.07,40,0.09,-37,-0.08,127,1.27
10,Entry long,2024-12-16 13:37,Long,22121.75,1,22121.75,32.5,0.07,40,0.09,-37,-0.08,127,1.27
11,Exit long,2024-12-16 20:23,Exit Long,22403,1,22138.75,528.5,1.19,546,1.23,-86.5,-0.20,655.5,6.56
11,Entry long,2024-12-16 14:54,Long,22138.75,1,22138.75,528.5,1.19,546,1.23,-86.5,-0.20,655.5,6.56
12,Exit long,2024-12-16 21:07,Exit Long,22420.75,1,22413,15.5,0.03,19.5,0.04,-6.5,-0.01,671,6.71
12,Entry long,2024-12-16 20:47,Long,22413,1,22413,15.5,0.03,19.5,0.04,-6.5,-0.01,671,6.71
13,Exit short,2024-12-17 05:54,Exit Short,22407.75,1,22335.25,-145,-0.32,20.5,0.05,-146.5,-0.33,526,5.26
13,Entry short,2024-12-17 03:01,Short,22335.25,1,22335.25,-145,-0.32,20.5,0.05,-146.5,-0.33,526,5.26
14,Exit long,2024-12-17 07:57,Exit Long,22352.25,1,22407.75,-111,-0.25,33.5,0.07,-114,-0.25,415,4.15
14,Entry long,2024-12-17 05:54,Long,22407.75,1,22407.75,-111,-0.25,33.5,0.07,-114,-0.25,415,4.15
15,Exit short,2024-12-17 08:05,Exit Short,22330.75,1,22352.25,43,0.10,45.5,0.10,-5.5,-0.01,458,4.58
15,Entry short,2024-12-17 07:57,Short,22352.25,1,22352.25,43,0.10,45.5,0.10,-5.5,-0.01,458,4.58
