date,portfolio_value,cash,num_positions
2025-08-05,10000.0,10000.0,0
2025-08-06,10000.0,7000.0,3
2025-08-07,10196.58074573988,1901.7096271300593,8
2025-08-08,10413.517339938096,860.3578931362497,9
2025-08-09,10729.792528202017,860.3578931362497,9
2025-08-10,10713.788362969073,860.3578931362497,9
2025-08-11,10437.128009048038,860.3578931362497,9
2025-08-12,11142.229944125578,1180.8375568081378,9
2025-08-13,11529.18582460561,1341.8086051800556,9
2025-08-14,10989.70660828516,4408.877379037817,6
2025-08-15,10899.03210478304,5449.791570286251,5
2025-08-16,10944.451188770578,5449.791570286251,5
2025-08-17,11181.399887471118,4331.651581539139,6
2025-08-18,10954.66128014434,4331.651581539139,6
2025-08-19,10537.49699335775,7428.633169003432,3
2025-08-20,10695.786510913153,7482.5251006461385,3
2025-08-21,10561.5774626316,9557.68907383192,1
2025-08-22,10640.85582817835,1045.0044112892358,9
2025-08-23,10654.83608918772,1045.0044112892358,9
2025-08-24,10514.141460141273,1045.0044112892358,9
2025-08-25,9721.813002094477,5768.486241835812,4
2025-08-26,9842.9157600922,5768.486241835812,4
2025-08-27,9877.885799158195,5768.486241835812,4
2025-08-28,10035.19702732505,4764.966539103307,5
2025-08-29,9753.191416950114,8820.439858302787,1
2025-08-30,9755.716361958042,8820.439858302787,1
2025-08-31,9744.007880170764,8820.439858302787,1
2025-09-01,9717.178000074686,9717.178000074686,0
2025-09-02,9717.178000074684,7773.7424000597475,2
2025-09-03,9752.901740906365,7773.7424000597475,2
2025-09-04,9674.691110456804,7773.7424000597475,2
2025-09-05,9689.801269096839,7773.7424000597475,2
2025-09-06,9671.429721260229,7773.7424000597475,2
2025-09-07,9712.292688078298,5831.2838624440865,4
2025-09-08,9818.502495345294,5831.2838624440865,4
2025-09-09,9880.556819137564,4904.573261814753,5
2025-09-10,10107.31439424735,3893.841822390018,6
2025-09-11,10177.463789476831,1858.3490644946514,8
2025-09-12,10384.258923758258,819.9231721188255,9
2025-09-13,10468.323117520955,819.9231721188255,9
2025-09-14,10181.686625671815,1885.6595702880973,8
2025-09-15,10036.356411326351,2820.6915256186476,7
2025-09-16,10091.254160220193,6024.654176721188,4
2025-09-17,10164.779079758231,4004.678021490477,6
2025-09-18,10333.846157121774,4016.701682457249,6
2025-09-19,10081.323653363479,4016.701682457249,6
2025-09-20,10057.32881757799,4016.701682457249,6
2025-09-21,9979.261219533688,5020.832162340227,5
2025-09-22,9767.127778050834,8684.18416593827,1
2025-09-23,9757.221831761222,8684.18416593827,1
2025-09-24,9717.278499948277,9717.278499948277,0
2025-09-25,9717.278499948277,9717.278499948277,0
2025-09-26,9717.278499948277,9717.278499948277,0
2025-09-27,9717.278499948277,9717.278499948277,0
2025-09-28,9717.278499948277,9717.278499948277,0
2025-09-29,9717.278499948277,9717.278499948277,0
2025-09-30,9717.278499948277,9717.278499948277,0
2025-10-01,9717.278499948276,3886.91139997931,6
2025-10-02,9876.603048690988,2899.2510951102113,7
2025-10-03,9880.217544800962,2899.2510951102113,7
2025-10-04,9738.741268026071,2899.2510951102113,7
2025-10-05,9735.76081324579,2899.2510951102113,7
2025-10-06,9978.966218092744,2899.2510951102113,7
2025-10-07,9573.605750779478,2899.2510951102113,7
2025-10-08,9740.818654478804,8744.552717054974,1
2025-10-09,9706.42033447934,9706.42033447934,0
2025-10-10,9706.42033447934,9706.42033447934,0
2025-10-11,9706.42033447934,9706.42033447934,0
2025-10-12,9706.42033447934,9706.42033447934,0
2025-10-13,9706.42033447934,9706.42033447934,0
2025-10-14,9706.42033447934,9706.42033447934,0
2025-10-15,9706.42033447934,9706.42033447934,0
2025-10-16,9706.42033447934,9706.42033447934,0
2025-10-17,9706.42033447934,9706.42033447934,0
2025-10-18,9706.42033447934,9706.42033447934,0
2025-10-19,9706.42033447934,9706.42033447934,0
2025-10-20,9706.42033447934,9706.42033447934,0
2025-10-21,9706.42033447934,9706.42033447934,0
2025-10-22,9706.42033447934,9706.42033447934,0
2025-10-23,9706.42033447934,9706.42033447934,0
2025-10-24,9706.42033447934,9706.42033447934,0
2025-10-25,9706.42033447934,9706.42033447934,0
2025-10-26,9706.42033447934,9706.42033447934,0
2025-10-27,9706.42033447934,9706.42033447934,0
2025-10-28,9706.42033447934,9706.42033447934,0
2025-10-29,9706.42033447934,9706.42033447934,0
2025-10-30,9706.42033447934,9706.42033447934,0
2025-10-31,9706.42033447934,9706.42033447934,0
2025-11-01,9706.42033447934,9706.42033447934,0
2025-11-02,9706.42033447934,9706.42033447934,0
2025-11-03,9706.42033447934,9706.42033447934,0
2025-11-04,9706.42033447934,9706.42033447934,0
2025-11-05,9706.42033447934,9706.42033447934,0
2025-11-06,9706.42033447934,9706.42033447934,0
2025-11-07,9706.42033447934,9706.42033447934,0
2025-11-08,9706.42033447934,9706.42033447934,0
2025-11-09,9706.42033447934,9706.42033447934,0
2025-11-10,9706.42033447934,7765.1362675834725,2
2025-11-11,9525.83226607737,8617.657294187966,1
2025-11-12,9515.68804240547,8617.657294187966,1
2025-11-13,9477.246773754068,9477.246773754068,0
2025-11-14,9477.246773754068,9477.246773754068,0
2025-11-15,9477.246773754068,9477.246773754068,0
2025-11-16,9477.246773754068,9477.246773754068,0
2025-11-17,9477.246773754068,9477.246773754068,0
2025-11-18,9477.246773754068,9477.246773754068,0
2025-11-19,9477.246773754068,9477.246773754068,0
2025-11-20,9477.246773754068,9477.246773754068,0
2025-11-21,9477.246773754068,9477.246773754068,0
2025-11-22,9477.246773754068,9477.246773754068,0
2025-11-23,9477.246773754068,9477.246773754068,0
2025-11-24,9477.246773754068,9477.246773754068,0
2025-11-25,9477.246773754068,9477.246773754068,0
2025-11-26,9477.246773754068,9477.246773754068,0
2025-11-27,9477.246773754068,9477.246773754068,0
2025-11-28,9477.246773754068,9477.246773754068,0
2025-11-29,9477.246773754068,9477.246773754068,0
2025-11-30,9477.246773754068,9477.246773754068,0
2025-12-01,9477.246773754068,9477.246773754068,0
2025-12-02,9477.246773754068,9477.246773754068,0
2025-12-03,9477.246773754068,9477.246773754068,0
2025-12-04,9477.246773754068,9477.246773754068,0
2025-12-05,9477.246773754068,9477.246773754068,0
2025-12-06,9477.246773754068,9477.246773754068,0
2025-12-07,9477.246773754068,9477.246773754068,0
2025-12-08,9477.246773754068,9477.246773754068,0
2025-12-09,9477.246773754068,9477.246773754068,0
2025-12-10,9477.246773754068,9477.246773754068,0
2025-12-11,9477.246773754068,9477.246773754068,0
2025-12-12,9477.246773754068,9477.246773754068,0
