date,portfolio_value,cash,positions
2025-07-16,10000.0,6400.0,3
2025-07-17,10052.802328167892,3987.327441239706,5
2025-07-18,10163.428780912816,2767.7159875301677,6
2025-07-19,10406.925968229405,2767.7159875301677,6
2025-07-20,10794.798687128616,4314.062095599675,5
2025-07-21,10918.979108255317,4314.062095599675,5
2025-07-22,11052.221102344407,7024.73489945685,3
2025-07-23,10789.424620920878,10789.424620920878,0
2025-07-24,10789.424620920878,10789.424620920878,0
2025-07-25,10789.424620920878,10789.424620920878,0
2025-07-26,10789.424620920878,10789.424620920878,0
2025-07-27,10789.424620920878,10789.424620920878,0
2025-07-28,10789.424620920878,10789.424620920878,0
2025-07-29,10789.424620920878,10789.424620920878,0
2025-07-30,10789.424620920878,10789.424620920878,0
2025-07-31,10789.424620920878,10789.424620920878,0
2025-08-01,10789.424620920878,10789.424620920878,0
2025-08-02,10789.424620920878,10789.424620920878,0
2025-08-03,10789.424620920878,10789.424620920878,0
2025-08-04,10789.424620920878,10789.424620920878,0
2025-08-05,10789.424620920878,10789.424620920878,0
2025-08-06,10789.424620920878,10789.424620920878,0
2025-08-07,10789.424620920878,10789.424620920878,0
2025-08-08,10789.424620920878,8199.962711899867,2
2025-08-09,10937.659366919364,6887.443587869544,3
2025-08-10,10937.747611957016,6887.443587869544,3
2025-08-11,10874.114454804521,8260.072767251799,2
2025-08-12,11053.798926879404,4280.705153575213,5
2025-08-13,11262.518674336818,4280.705153575213,5
2025-08-14,10808.768458297276,9545.161330746225,1
2025-08-15,10768.538179846993,10768.538179846993,0
2025-08-16,10768.538179846993,10768.538179846993,0
2025-08-17,10768.538179846993,9476.313598265355,1
2025-08-18,10774.895713975062,9476.313598265355,1
2025-08-19,10662.235173555104,10662.235173555104,0
2025-08-20,10662.235173555104,10662.235173555104,0
2025-08-21,10662.235173555104,10662.235173555104,0
2025-08-22,10662.235173555104,2985.4258485954297,6
2025-08-23,10601.07292424227,2985.4258485954297,6
2025-08-24,10493.8508634613,2985.4258485954297,6
2025-08-25,9810.605477050573,9810.605477050573,0
2025-08-26,9810.605477050573,9810.605477050573,0
2025-08-27,9810.605477050573,9810.605477050573,0
