Trade #,Datetime,Signal,Price USD,Net P&L USD,Drawdown USD,Cumulative P&L USD,hour,Market_ATR,Market_Price,Market_SMA200,Filter_Time,Filter_ATR,Filter_Trend,Filter_ALL,Time_Reason,ATR_Reason,Trend_Reason
2,2024-12-16 00:22:00,Short,21794.75,19.5,-9.0,-25.5,0,65.57142857142857,21801.25,21547.025,True,True,False,False,PASS,PASS,FAIL: Short against trend
6,2024-12-16 06:37:00,Short,21841.25,-79.0,-82.5,-43.5,6,36.17857142857143,21804.0,21567.96625,True,True,False,False,PASS,PASS,FAIL: Short against trend
9,2024-12-16 12:47:00,Long,22081.75,42.0,-36.5,94.5,12,24.696428571428573,21910.75,21586.69,False,True,True,False,FAIL: Trading at 12:00 (avoid 9-13),PASS,PASS
13,2024-12-17 03:01:00,Short,22335.25,-145.0,-146.5,526.0,3,44.30357142857143,22115.25,21634.30625,True,True,False,False,PASS,PASS,FAIL: Short against trend
15,2024-12-17 07:57:00,Short,22352.25,43.0,-5.5,458.0,7,29.892857142857142,22045.0,21650.425,True,True,False,False,PASS,PASS,FAIL: Short against trend
16,2024-12-17 11:35:00,Long,22362.5,-154.5,-158.5,303.5,11,31.964285714285715,22050.0,21662.39125,False,True,True,False,FAIL: Trading at 11:00 (avoid 9-13),PASS,PASS
17,2024-12-17 14:21:00,Short,22285.25,53.0,-21.0,356.5,14,37.25,22004.0,21667.3775,True,True,False,False,PASS,PASS,FAIL: Short against trend
22,2024-12-18 08:32:00,Short,22355.75,38.0,-3.0,469.5,8,37.625,22048.25,21712.87625,True,True,False,False,PASS,PASS,FAIL: Short against trend
23,2024-12-18 09:32:00,Short,22244.75,-89.5,-96.0,380.0,9,36.910714285714285,22066.25,21715.4075,False,True,False,False,FAIL: Trading at 9:00 (avoid 9-13),PASS,FAIL: Short against trend
24,2024-12-18 09:55:00,Long,22289.5,46.0,-34.0,426.0,9,36.910714285714285,22066.25,21715.4075,False,True,True,False,FAIL: Trading at 9:00 (avoid 9-13),PASS,PASS
25,2024-12-18 14:30:00,Short,22075.25,184.5,-118.5,610.5,14,39.05357142857143,22022.0,21729.26875,True,True,False,False,PASS,PASS,FAIL: Short against trend
26,2024-12-18 15:12:00,Short,21823.75,170.0,-80.0,780.5,15,39.05357142857143,22022.0,21729.26875,True,True,False,False,PASS,PASS,FAIL: Short against trend
