Trade #,Datetime,Signal,Price USD,Net P&L USD,Drawdown USD,Cumulative P&L USD,hour,Market_ATR,Market_Price,Market_SMA200,Filter_Time,Filter_ATR,Filter_Trend,Filter_ALL,Time_Reason,ATR_Reason,Trend_Reason
1,2024-12-15 21:42:00,Long,21817.25,-45.0,-52.0,-45.0,21,66.14285714285714,21789.0,21544.15375,True,True,True,True,PASS,PASS,PASS
3,2024-12-16 02:06:00,Long,21809.0,24.5,-32.5,-1.0,2,66.01785714285714,21816.75,21553.00375,True,True,True,True,PASS,PASS,PASS
4,2024-12-16 04:33:00,Long,21830.25,22.0,-2.5,21.0,4,54.357142857142854,21790.5,21561.89875,True,True,True,True,PASS,PASS,PASS
5,2024-12-16 05:28:00,Long,21858.75,14.5,-4.0,35.5,5,54.357142857142854,21790.5,21561.89875,True,True,True,True,PASS,PASS,PASS
7,2024-12-16 07:32:00,Long,21880.75,35.5,-32.0,-8.0,7,33.44642857142857,21811.0,21570.98625,True,True,True,True,PASS,PASS,PASS
8,2024-12-16 08:48:00,Long,21912.0,60.5,-64.0,52.5,8,29.660714285714285,21846.75,21574.19125,True,True,True,True,PASS,PASS,PASS
10,2024-12-16 13:37:00,Long,22121.75,32.5,-37.0,127.0,13,29.553571428571427,21971.25,21589.925,True,True,True,True,PASS,PASS,PASS
11,2024-12-16 14:54:00,Long,22138.75,528.5,-86.5,655.5,14,34.142857142857146,21991.75,21593.22,True,True,True,True,PASS,PASS,PASS
12,2024-12-16 20:47:00,Long,22413.0,15.5,-6.5,671.0,20,46.464285714285715,22111.75,21616.08375,True,True,True,True,PASS,PASS,PASS
14,2024-12-17 05:54:00,Long,22407.75,-111.0,-114.0,415.0,5,31.285714285714285,22092.0,21644.48375,True,True,True,True,PASS,PASS,PASS
18,2024-12-17 19:43:00,Long,22289.25,21.5,-18.5,378.0,19,57.410714285714285,22015.75,21682.49875,True,True,True,True,PASS,PASS,PASS
19,2024-12-17 20:57:00,Long,22320.5,10.5,-7.5,388.5,20,54.94642857142857,22005.0,21684.9525,True,True,True,True,PASS,PASS,PASS
20,2024-12-17 21:43:00,Long,22325.75,11.0,-53.0,399.5,21,54.94642857142857,22005.0,21684.9525,True,True,True,True,PASS,PASS,PASS
21,2024-12-18 05:10:00,Long,22354.0,32.0,-3.0,431.5,5,48.464285714285715,22039.75,21702.485,True,True,True,True,PASS,PASS,PASS
30,2024-12-19 19:45:00,Short,21294.25,95.5,-33.5,1140.5,19,108.91071428571429,21110.75,21700.07375,True,True,True,True,PASS,PASS,PASS
32,2024-12-20 04:37:00,Short,21133.0,117.5,-30.5,937.5,4,98.83928571428571,20995.75,21675.09125,True,True,True,True,PASS,PASS,PASS
33,2024-12-20 07:03:00,Short,21067.25,49.0,-28.5,986.5,7,81.48214285714286,21015.75,21669.065,True,True,True,True,PASS,PASS,PASS
36,2024-12-20 13:43:00,Short,21667.75,188.0,-170.5,1445.5,13,66.39285714285714,20945.25,21647.68625,True,True,True,True,PASS,PASS,PASS
37,2024-12-20 15:51:00,Short,21583.75,-269.5,-274.5,1176.0,15,66.39285714285714,20945.25,21647.68625,True,True,True,True,PASS,PASS,PASS
